TIME KE PE KI PI KG PG XE XESD DGQ DL DN SE1 SE2 SE3 SE4 SI1 SI2 SI3 SI4 TE TI LMEX LMEY LMEZ LMIX LMIY LMIZ AMEX AMEY AMEZ AMIX AMIY AMIZ TOTE
1e-12 4.5402e-21 -5.61671e-23 4.54369e-21 5.5334e-23 0 NA 0.0004000101 0.0001627482 0 6.10884e-05 267.151 91949.8 1.51343e+09 0.489882 0.114014 2146.39 826033 0.488633 0.0969532 219.229 219.398 -1.42414e-28 7.60213e-29 1.00525e-28 -2.65409e-28 2.94254e-27 6.40785e-27 -1.87404e-27 -6.57583e-28 -5.14168e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
2e-12 4.53998e-21 -5.57203e-23 4.54369e-21 5.49681e-23 0 NA 0.0003999937 0.0001627519 0 6.10869e-05 267.132 91948.1 1.51325e+09 0.489886 0.114359 2146.39 826033 0.488633 0.0969532 219.218 219.398 -1.40962e-28 7.78582e-29 1.01797e-28 -2.65409e-28 2.94254e-27 6.40785e-27 -1.78616e-27 -6.41003e-28 -4.93158e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
3e-12 4.54006e-21 -5.51654e-23 4.54369e-21 5.4431e-23 0 NA 0.0003999987 0.0001627474 0 6.10875e-05 267.139 91948.9 1.51329e+09 0.489982 0.114515 2146.39 826033 0.488633 0.0969532 219.223 219.398 -1.442e-28 7.84116e-29 1.03716e-28 -2.65409e-28 2.94254e-27 6.40785e-27 -1.82e-27 -5.66607e-28 -4.47578e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
4e-12 4.53987e-21 -5.5702e-23 4.54369e-21 5.49426e-23 0 NA 0.0003999998 0.0001627487 0 6.10862e-05 267.122 91946.9 1.51323e+09 0.489787 0.114383 2146.39 826033 0.488633 0.0969532 219.213 219.398 -1.42635e-28 7.8558e-29 9.5357e-29 -2.65409e-28 2.94254e-27 6.40785e-27 -1.89872e-27 -4.08987e-28 -4.69012e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
5e-12 4.53962e-21 -5.56705e-23 4.54369e-21 5.48725e-23 0 NA 0.0003999958 0.0001627716 0 6.10845e-05 267.1 91944.7 1.5131e+09 0.489733 0.114345 2146.39 826033 0.488633 0.0969532 219.201 219.398 -1.42039e-28 8.60784e-29 9.10192e-29 -2.65409e-28 2.94254e-27 6.40785e-27 -1.7977e-27 -3.50281e-28 -4.96177e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
6e-12 4.53958e-21 -5.55671e-23 4.54369e-21 5.47321e-23 0 NA 0.0003999885 0.0001627697 0 6.10842e-05 267.097 91944 1.51313e+09 0.489817 0.114441 2146.39 826033 0.488633 0.0969532 219.199 219.398 -1.42047e-28 8.25844e-29 8.44922e-29 -2.65409e-28 2.94254e-27 6.40785e-27 -1.85363e-27 -2.87654e-28 -4.27164e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
7e-12 4.53971e-21 -5.57393e-23 4.54369e-21 5.48693e-23 0 NA 0.0003999735 0.0001627784 0 6.10851e-05 267.108 91944 1.51341e+09 0.490104 0.114734 2146.39 826033 0.488633 0.0969532 219.205 219.398 -1.37599e-28 8.44891e-29 8.20575e-29 -2.65409e-28 2.94254e-27 6.40785e-27 -1.80531e-27 -1.53083e-28 -4.3947e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
8e-12 4.53962e-21 -5.59648e-23 4.54369e-21 5.51196e-23 0 NA 0.000399946 0.0001627851 0 6.10845e-05 267.1 91942.7 1.51344e+09 0.48995 0.114099 2146.39 826033 0.488633 0.0969532 219.201 219.398 -1.3542e-28 8.00607e-29 7.80229e-29 -2.65409e-28 2.94254e-27 6.40785e-27 -1.69171e-27 -2.49451e-28 -4.49097e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
9e-12 4.53986e-21 -5.57296e-23 4.54369e-21 5.49204e-23 0 NA 0.0003999445 0.0001627862 0 6.10861e-05 267.121 91944.5 1.51365e+09 0.490081 0.114234 2146.39 826033 0.488633 0.0969532 219.213 219.398 -1.36406e-28 8.30341e-29 7.81118e-29 -2.65409e-28 2.94254e-27 6.40785e-27 -1.75173e-27 -2.75688e-28 -4.8489e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
1e-11 4.53989e-21 -5.5344e-23 4.54369e-21 5.45482e-23 0 NA 0.0003999553 0.00016278 0 6.10863e-05 267.124 91945.5 1.51352e+09 0.490027 0.114326 2146.39 826033 0.488633 0.0969532 219.214 219.398 -1.36412e-28 8.58802e-29 7.80636e-29 -2.65409e-28 2.94254e-27 6.40785e-27 -1.72564e-27 -3.26352e-28 -5.2062e-28 6.06467e-26 -3.01973e-26 -6.66067e-26 0
