TIME KE PE KI PI KG PG XE XESD DGQ DL DN SE1 SE2 SE3 SE4 SI1 SI2 SI3 SI4 TE TI LMEX LMEY LMEZ LMIX LMIY LMIZ AMEX AMEY AMEZ AMIX AMIY AMIZ TOTE
1e-12 4.5293e-21 0 4.56112e-21 0 0 0 0.0004000526 0.0001631775 0 6.10143e-05 266.18 91887.4 1.50096e+09 0.486497 0.119093 2151.11 826582 0.503777 0.198147 218.697 220.236 -2.17779e-28 1.66325e-28 -4.11517e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 8.29322e-28 7.24534e-27 -1.71982e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
2e-12 4.52888e-21 0 4.56112e-21 0 0 0 0.0004000438 0.0001631809 0 6.10114e-05 266.143 91883.6 1.50074e+09 0.486432 0.11899 2151.11 826582 0.503777 0.198147 218.677 220.236 -2.15722e-28 1.69547e-28 -4.1322e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 7.83761e-28 7.25823e-27 -1.60609e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
3e-12 4.52919e-21 0 4.56112e-21 0 0 0 0.000400018 0.0001631671 0 6.10135e-05 266.17 91886.8 1.50082e+09 0.486054 0.117938 2151.11 826582 0.503777 0.198147 218.692 220.236 -2.0696e-28 1.69738e-28 -4.17336e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 6.59939e-28 7.32229e-27 -1.70501e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
4e-12 4.52906e-21 0 4.56112e-21 0 0 0 0.0004000117 0.0001631757 0 6.10126e-05 266.158 91885.7 1.50073e+09 0.48602 0.118163 2151.11 826582 0.503777 0.198147 218.686 220.236 -2.02363e-28 1.6357e-28 -4.16823e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 8.1708e-28 7.266e-27 -1.69884e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
5e-12 4.52915e-21 0 4.56112e-21 0 0 0 0.0003999795 0.0001631673 0 6.10133e-05 266.167 91885.7 1.50093e+09 0.486169 0.118053 2151.11 826582 0.503777 0.198147 218.69 220.236 -1.99493e-28 1.58092e-28 -4.06544e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 1.03058e-27 7.21823e-27 -1.78805e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
6e-12 4.52908e-21 0 4.56112e-21 0 0 0 0.0003999776 0.0001631635 0 6.10128e-05 266.161 91884.5 1.50101e+09 0.486191 0.117871 2151.11 826582 0.503777 0.198147 218.687 220.236 -2.00358e-28 1.56704e-28 -4.06084e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 1.06509e-27 7.22589e-27 -1.78609e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
7e-12 4.52922e-21 0 4.56112e-21 0 0 0 0.0003999888 0.000163161 0 6.10137e-05 266.173 91885.2 1.50119e+09 0.486332 0.117864 2151.11 826582 0.503777 0.198147 218.694 220.236 -1.98118e-28 1.55849e-28 -4.06442e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 1.10853e-27 7.27725e-27 -1.78591e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
8e-12 4.52895e-21 0 4.56112e-21 0 0 0 0.0004000011 0.0001631554 0 6.1012e-05 266.15 91882.8 1.50105e+09 0.48619 0.11775 2151.11 826582 0.503777 0.198147 218.681 220.236 -1.9962e-28 1.5754e-28 -4.05954e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 1.19733e-27 7.13038e-27 -1.77035e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
9e-12 4.52925e-21 0 4.56112e-21 0 0 0 0.0003999864 0.0001631605 0 6.1014e-05 266.176 91885.8 1.50114e+09 0.486091 0.117502 2151.11 826582 0.503777 0.198147 218.695 220.236 -1.96668e-28 1.55819e-28 -4.07981e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 1.13564e-27 7.05566e-27 -1.92779e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
1e-11 4.52925e-21 0 4.56112e-21 0 0 0 0.000399985 0.0001631616 0 6.1014e-05 266.176 91885.9 1.50114e+09 0.486014 0.117324 2151.11 826582 0.503777 0.198147 218.695 220.236 -2.00004e-28 1.57219e-28 -4.06459e-28 7.39075e-27 -1.40006e-26 -6.19793e-28 1.11714e-27 7.01425e-27 -1.91727e-27 6.5739e-26 3.5591e-26 1.53039e-25 0
