# Digitized data points from figure 11(a) of Patacchini, Hutchinson &
# Lapenta (2007).
TI	BETAI	PHIF
# next 7 lines are raw digitizer results for red squares (T_i = 0.1 T_e)
#-0.000696379 -1.91228
#0.0243733 -1.94035
#0.0508357 -1.98947
#0.100975 -2.07018
#0.198468 -2.22982
#0.300139 -2.35263
#0.401811 -2.46316
0.1	0	-1.91228
0.1	0.025	-1.94035
0.1	0.05	-1.98947
0.1	0.1	-2.07018
0.1	0.2	-2.22982
0.1	0.3	-2.35263
0.1	0.4	-2.46316
# next 8 lines are raw digitizer results for red squares (T_i = T_e)
#-0.000696379 -2.50175
#0.0236769 -2.52632
#0.0494429 -2.48772
#0.0738162 -2.44737
#0.0988858 -2.4386
#0.199861 -2.40175
#0.299443 -2.40877
#0.399025 -2.45263
1	0	-2.50175
1	0.025	-2.52632
1	0.05	-2.48772
1	0.075	-2.44737
1	0.1	-2.4386
1	0.2	-2.40175
1	0.3	-2.40877
1	0.4	-2.45263
