# ID = unique string identifying the run
# DAT = date run finished (estimated as pot-macroscopic.dat modific'n date)
# N = number of electrons & ions, i.e. total number of plasma particles
# CUTOFF = cutoff time beyond which T_i, T_e, the empirical eta, fitted OML
#          eta, and grain charge were medianed over
#          (ideally this is when the system reached equilibrium)
# TITEMIN = 5th percentile of T_i/T_e
# TITEMED = median T_i/T_e
# TITEMAX = 95th percentile of T_i/T_e
# ETAMIN = 5th percentile of eta
# ETAMED = median eta
# ETAMAX = 95th percentile of eta
# OMLFIT = result of ad hoc OML charging curve fitting
#          (if U > 0 this is from chafitsoml, otherwise chafitoml)
# RDL = ratio of the simulation domain radius to the Debye length
# Q = median grain charge (in elementary charges)
# TQ = grain charging time (measured as empirical e-folding time)
# TPE = electron plasma oscillation period
# ADL = ratio of the grain radius to the (theoretical, a priori) Debye length
# DTET = ratio of time step to (theoretical, a priori) elec. dust cross time
# IPS = whether ions were Poisson-simulated, not actually collected
# PP = whether particle-particle interactions were simulated
# U = median drift velocity in units of Bohm speed
# DT = time step length in picoseconds
ID	DAT	N	CUTOFF	TITE5	TITEMED	TITE95	ETA5	ETAMED	ETA95	OMLFIT	RDL	Q	TQ	TPE	ADL	DTET	IPS	PP	U	DT
"14-03/CX1-2"	"2014-03-07"	150000	5e-6	1.4727	1.4840	1.4951	-3.365	-2.844	-2.416	-2.808	8.80	-41	5.53e-7	6.66e-9	0.0361	0.36187	0	0	0.00	8
"14-03/2"	"2014-03-13"	150000	5e-6	1.4730	1.4849	1.4966	-3.161	-2.684	-2.201	-2.645	8.80	-39	4.46e-7	6.66e-9	0.0361	0.18094	0	0	0.00	4
"14-03/3"	"2014-03-21"	150000	5e-6	1.4729	1.4843	1.4959	-3.169	-2.762	-2.296	-2.724	8.80	-40	5.95e-7	6.66e-9	0.0361	0.18094	0	0	0.00	4
"14-03/4"	"2014-03-28"	150000	5e-6	0.9936	1.0006	1.0075	-3.060	-2.698	-2.403	-2.727	7.23	-58	3.32e-7	6.66e-9	0.0361	0.18094	0	0	0.00	4
"14-03/5"	"2014-03-31"	150000	5e-6	0.9925	0.9999	1.0069	-3.208	-2.914	-2.651	-2.896	7.23	-63	3.54e-7	6.66e-9	0.0361	0.36187	0	0	0.00	8
"14-03to04/1"	"2014-04-09"	150000	5e-6	0.9927	0.9995	1.0062	-2.917	-2.561	-2.277	-2.525	7.23	-55	4.29e-7	6.66e-9	0.0361	0.09047	0	0	0.00	2
"14-04/CX1-2"	"2014-04-10"	150000	5e-6	1.4742	1.4854	1.4969	-2.956	-2.631	-2.207	-2.578	8.81	-38	4.27e-7	6.66e-9	0.0361	0.09047	0	0	0.00	2
"14-04/CX1-3"	"2014-04-10"	150000	5e-6	1.4738	1.4849	1.4962	-3.035	-2.616	-2.195	-2.616	8.81	-38	4.74e-7	6.66e-9	0.0361	0.09047	0	0	0.00	2
"14-04/CX1-1"	"2014-04-10"	150000	5e-6	1.4740	1.4852	1.4968	-3.223	-2.599	-2.192	-2.574	8.81	-38	8.02e-7	6.66e-9	0.0361	0.09047	0	0	0.00	2
"14-04/CX1-4"	"2014-04-26"	150000	5e-6	0.9938	1.0006	1.0070	-2.852	-2.597	-2.322	-2.602	7.23	-56	3.55e-7	6.66e-9	0.0361	0.04523	0	0	0.00	1
"14-04/CX1-6"	"2014-04-26"	150000	5e-6	0.9937	1.0010	1.0092	-2.951	-2.601	-2.280	-2.588	7.23	-56	3.55e-7	6.66e-9	0.0361	0.04523	0	0	0.00	1
"14-04/CX1-7"	"2014-04-27"	150000	5e-6	0.9938	1.0003	1.0069	-2.890	-2.545	-2.225	-2.534	7.23	-55	3.99e-7	6.66e-9	0.0361	0.04523	0	0	0.00	1
"14-04to05/CX1-2"	"2014-05-09"	150000	5e-6	0.1000	0.1007	0.1014	-2.370	-2.093	-1.863	-2.067	7.23	-45	4.44e-7	6.66e-9	0.0361	0.09047	0	0	0.00	2
"14-04to05/CX1-1"	"2014-05-24"	150000	5e-6	0.1164	0.1177	0.1194	-2.173	-1.941	-1.659	-1.935	7.21	-42	1.76e-7	6.66e-9	0.0361	0.09047	0	1	0.00	2
"14-04to05/CX1-3"	"2014-05-24"	150000	5e-6	0.9905	0.9978	1.0045	-2.918	-2.683	-2.447	-2.715	7.20	-58	2.61e-7	6.66e-9	0.0361	0.09047	0	1	0.00	2
"14-04to05/CX1-4"	"2014-05-24"	150000	5e-6	0.9912	0.9978	1.0042	-2.909	-2.640	-2.311	-2.599	7.20	-57	3.39e-7	6.66e-9	0.0361	0.09047	0	1	0.00	2
"14-05/CX1-d0A"	"2014-05-27"	150000	5e-6	0.1000	0.1005	0.1011	-2.395	-2.201	-1.979	-2.082	6.54	-58	3.26e-7	6.66e-9	0.0327	0.10002	0	0	0.00	2
"14-05/CX1-d1A"	"2014-05-27"	150000	5e-6	0.1009	0.1019	0.1029	-3.001	-2.688	-2.274	-2.710	6.54	-71	3.22e-7	6.66e-9	0.0327	0.10002	0	0	1.00	2
"14-05/CX1-d2A"	"2014-05-27"	150000	5e-6	0.0999	0.1006	0.1012	-3.053	-2.880	-2.693	-2.883	6.54	-76	5.32e-7	6.66e-9	0.0327	0.10002	0	0	2.00	2
"14-05/CX1-d4A"	"2014-05-27"	150000	5e-6	0.0995	0.1002	0.1009	-3.098	-2.904	-2.643	-2.826	6.54	-76	4.06e-7	6.66e-9	0.0327	0.10002	0	0	4.00	2
"14-05to06/CX1-d0B"	"2014-06-02"	150000	5e-6	0.1000	0.1006	0.1013	-2.166	-1.974	-1.780	-1.910	6.54	-52	2.70e-7	6.66e-9	0.0327	0.05001	0	0	0.00	1
"14-05to06/CX1-d1B"	"2014-06-02"	150000	5e-6	0.1007	0.1016	0.1024	-2.852	-2.517	-2.282	-2.523	6.54	-66	3.28e-7	6.66e-9	0.0327	0.05001	0	0	1.00	1
"14-05to06/CX1-d2B"	"2014-06-02"	150000	5e-6	0.0998	0.1005	0.1013	-3.152	-2.814	-2.429	-2.751	6.54	-74	5.04e-7	6.66e-9	0.0327	0.05001	0	0	2.00	1
"14-05to06/CX1-d4B"	"2014-06-02"	150000	5e-6	0.0995	0.1001	0.1008	-2.931	-2.587	-2.283	-2.538	6.54	-68	2.57e-7	6.66e-9	0.0327	0.05001	0	0	4.00	1
"14-06/CX1-4B"	"2014-06-12"	150000	5e-6	0.9935	1.0003	1.0075	-2.888	-2.606	-2.324	-2.619	6.53	-86	3.03e-7	6.66e-9	0.0409	0.04001	0	0	4.00	1
"14-06/CX1-0B"	"2014-06-16"	150000	5e-6	0.9950	1.0016	1.0083	-2.770	-2.542	-2.312	-2.530	6.53	-84	4.90e-7	6.66e-9	0.0409	0.04001	0	0	0.00	1
"14-06/CX1-0A"	"2014-06-26"	150000	5e-6	0.9956	1.0022	1.0092	-2.833	-2.614	-2.366	-2.578	6.53	-86	3.02e-7	6.66e-9	0.0409	0.02000	0	0	0.00	0.5
"14-06/CX1-2A"	"2014-06-26"	150000	5e-6	0.9972	1.0042	1.0114	-2.961	-2.706	-2.365	-2.664	6.53	-89	3.55e-7	6.66e-9	0.0409	0.02000	0	0	2.00	0.5
"14-06/CX1-4A"	"2014-06-26"	150000	5e-6	0.9939	1.0009	1.0078	-2.876	-2.630	-2.407	-2.591	6.53	-87	3.44e-7	6.66e-9	0.0409	0.02000	0	0	4.00	0.5
